Pct BF,Height,Waist,Chest
12.3,67.75,33.54,36.65
6.1,72.25,32.68,36.85
25.3,66.25,34.61,37.72
10.4,72.25,34.02,40.08
28.7,71.25,39.37,38.31
20.9,74.75,37.17,41.14
19.2,69.75,35.71,41.38
12.4,72.5,34.84,39.21
4.1,74,32.48,39.72
11.7,73.5,34.88,39.21
7.1,74.5,32.91,39.96
7.8,76,35.79,40.79
20.8,69.5,36.06,40.16
21.2,71.25,40.08,40.98
22.1,69.5,37.95,39.88
20.9,66,36.54,39.02
29,71,37.95,40.12
22.9,71,38.39,42.36
16,67.75,35.28,42.05
16.5,73.5,39.57,41.81
19.1,68,37.76,40.67
15.2,69.75,38.9,43.86
15.6,68.25,30.08,33.86
17.7,70,31.5,34.13
14,67.75,30.04,35.51
3.7,71.5,31.38,35.28
7.9,67.5,29.37,34.88
22.9,67.5,34.92,38.35
3.7,64.75,29.09,36.81
8.8,69,32.87,38.35
11.9,73.75,34.92,39.57
5.7,71.25,33.27,36.81
11.8,71.25,31.14,36.61
21.3,71,39.57,43.98
32.3,73.5,45.51,46.06
40.1,65,44.53,46.65
24.2,70,39.72,41.93
28.4,68.25,38.9,41.57
32.6,67,42.56,45.2
34.5,68.75,49.69,50.51
31.6,70,43.78,44.61
32,71.5,41.06,41.97
7.7,68,29.92,33.5
13.9,73.25,32.09,38.03
10.8,67.5,29.02,34.72
5.6,71.25,31.3,35.35
13.6,68.5,32.83,36.34
4,66.75,27.72,32.83
10.2,72.25,34.13,35.51
6.6,69,30.67,35.12
8,67.75,32.28,35.31
6.3,73.5,31.34,36.73
3.9,67.5,30.55,34.49
22.6,72,39.37,42.36
20.4,68,39.29,39.37
28,69.5,41.02,43.9
31.5,70.75,41.46,45.43
24.6,65.75,38.7,41.26
26.1,73.25,41.26,44.21
29.8,68.5,37.28,40.51
30.7,70.25,40.31,42.36
25.8,67,39.25,41.46
32.3,70,41.54,41.46
30,67.5,39.49,40.55
